count;date
141236;5/4/2017
138860;6/4/2017
127761;7/4/2017
85626;8/4/2017
89917;9/4/2017
132129;10/4/2017
135749;11/4/2017
136242;12/4/2017
128836;13/4/2017
109299;14/4/2017
82120;15/4/2017
80991;16/4/2017
120041;17/4/2017
138223;18/4/2017
138438;19/4/2017
138855;20/4/2017
130657;21/4/2017
88023;22/4/2017
91781;23/4/2017
135203;24/4/2017
138721;25/4/2017
137496;26/4/2017
133746;27/4/2017
128161;28/4/2017
81441;29/4/2017
83882;30/4/2017
110421;1/5/2017
133633;2/5/2017
137428;3/5/2017
135318;4/5/2017
131059;5/5/2017
85248;6/5/2017
86267;7/5/2017
126896;8/5/2017
138497;9/5/2017
137661;10/5/2017
137622;11/5/2017
125577;12/5/2017
83915;13/5/2017
84276;14/5/2017
128914;15/5/2017
134752;16/5/2017
130951;17/5/2017
128013;18/5/2017
126280;19/5/2017
85046;20/5/2017
83664;21/5/2017
129002;22/5/2017
130253;23/5/2017
132441;24/5/2017
120011;25/5/2017
119882;26/5/2017
81247;27/5/2017
77195;28/5/2017
115671;29/5/2017
126545;30/5/2017
138183;31/5/2017
130526;1/6/2017
126928;2/6/2017
78929;3/6/2017
84786;4/6/2017
121271;5/6/2017
129639;6/6/2017
135531;7/6/2017
129052;8/6/2017
118416;9/6/2017
81788;10/6/2017
81498;11/6/2017
121122;12/6/2017
134493;13/6/2017
131837;14/6/2017
129180;15/6/2017
117198;16/6/2017
78329;17/6/2017
77334;18/6/2017
123535;19/6/2017
126632;20/6/2017
126228;21/6/2017
126422;22/6/2017
115770;23/6/2017
73863;24/6/2017
80369;25/6/2017
115638;26/6/2017
121893;27/6/2017
125502;28/6/2017
122897;29/6/2017
113950;30/6/2017
71770;1/7/2017
75988;2/7/2017
111772;3/7/2017
107425;4/7/2017
122412;5/7/2017
120593;6/7/2017
113371;7/7/2017
75696;8/7/2017
75230;9/7/2017
116053;10/7/2017
122205;11/7/2017
120081;12/7/2017
120956;13/7/2017
109815;14/7/2017
76728;15/7/2017
79623;16/7/2017
117590;17/7/2017
124931;18/7/2017
123853;19/7/2017
120898;20/7/2017
111410;21/7/2017
76731;22/7/2017
78884;23/7/2017
119990;24/7/2017
133488;25/7/2017
125063;26/7/2017
125056;27/7/2017
116609;28/7/2017
79527;29/7/2017
82342;30/7/2017
116600;31/7/2017
123683;1/8/2017
122264;2/8/2017
119225;3/8/2017
112843;4/8/2017
74850;5/8/2017
78532;6/8/2017
114553;7/8/2017
124776;8/8/2017
119022;9/8/2017
119462;10/8/2017
114639;11/8/2017
73344;12/8/2017
77647;13/8/2017
110835;14/8/2017
115721;15/8/2017
118270;16/8/2017
114687;17/8/2017
113793;18/8/2017
74150;19/8/2017
77349;20/8/2017
107846;21/8/2017
121789;22/8/2017
117422;23/8/2017
115581;24/8/2017
108834;25/8/2017
77320;26/8/2017
76554;27/8/2017
112159;28/8/2017
120848;29/8/2017
121972;30/8/2017
122065;31/8/2017
109825;1/9/2017
70677;2/9/2017
79169;3/9/2017
104070;4/9/2017
118165;5/9/2017
118562;6/9/2017
117114;7/9/2017
113073;8/9/2017
78495;9/9/2017
82554;10/9/2017
116915;11/9/2017
124227;12/9/2017
118728;13/9/2017
119140;14/9/2017
116157;15/9/2017
77326;16/9/2017
